"","sub","decision","grupo","agent","AIM_2","success","c.tasa_fallo_other","c.tasa_fallo_self","c.zeros_other","c.zeros_self","c.reward","c.effort","c.trail","c.AIM_num","c.AIM_3","c.AIM_4"
"1","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,-1.34147440207727,-1.69612421186648,0.31780716904046,0.0675649386032631,0.507013405506412
"2","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,-1.34147440207727,-1.62394871348918,0.31780716904046,0.0675649386032631,0.507013405506412
"3","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,-1.34147440207727,-1.55177321511189,0.31780716904046,0.0675649386032631,0.507013405506412
"4","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,-0.447158134025757,-1.47959771673459,0.31780716904046,0.0675649386032631,0.507013405506412
"5","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,-0.447158134025757,-1.40742221835729,0.31780716904046,0.0675649386032631,0.507013405506412
"6","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,-0.447158134025757,-1.33524671998,0.31780716904046,0.0675649386032631,0.507013405506412
"7","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,0.447158134025757,-1.2630712216027,0.31780716904046,0.0675649386032631,0.507013405506412
"8","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,0.447158134025757,-1.1908957232254,0.31780716904046,0.0675649386032631,0.507013405506412
"9","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,0.447158134025757,-1.1187202248481,0.31780716904046,0.0675649386032631,0.507013405506412
"10","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,1.34147440207727,-1.04654472647081,0.31780716904046,0.0675649386032631,0.507013405506412
"11","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,1.34147440207727,-0.97436922809351,0.31780716904046,0.0675649386032631,0.507013405506412
"12","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,1.34147440207727,-0.902193729716213,0.31780716904046,0.0675649386032631,0.507013405506412
"13","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,-1.34147440207727,-0.830018231338916,0.31780716904046,0.0675649386032631,0.507013405506412
"14","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,-1.34147440207727,-0.757842732961619,0.31780716904046,0.0675649386032631,0.507013405506412
"15","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,-1.34147440207727,-0.685667234584322,0.31780716904046,0.0675649386032631,0.507013405506412
"16","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,-0.447158134025757,-0.613491736207025,0.31780716904046,0.0675649386032631,0.507013405506412
"17","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,-0.447158134025757,-0.541316237829728,0.31780716904046,0.0675649386032631,0.507013405506412
"18","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,-0.447158134025757,-0.469140739452431,0.31780716904046,0.0675649386032631,0.507013405506412
"19","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,0.447158134025757,-0.396965241075134,0.31780716904046,0.0675649386032631,0.507013405506412
"20","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,0,0.447158134025757,-0.324789742697837,0.31780716904046,0.0675649386032631,0.507013405506412
"21","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,1.22459298388913,0.447158134025757,-0.25261424432054,0.31780716904046,0.0675649386032631,0.507013405506412
"22","155","1","0","0","2",0,-0.1279584468499,-0.948904038802791,-0.455418664291706,-0.737508737051909,-1.22459298388913,1.34147440207727,-0.180438745943243,0.31780716904046,0.0675649386032631,0.507013405506412
